id,start_from_week_seconds,duration
422539,560978,4825
422538,560947,4946
422537,560896,4997
422536,560878,5009
422535,560869,4698
422534,560849,5028
422533,560840,5033
422532,560823,4963
422531,560821,5042
422530,560784,5079
422529,560757,5092
422528,560729,5085
422527,560728,5102
422526,560693,5156
422525,560669,5111
422524,560636,5150
422523,560597,5217
422522,560576,5204
422521,560459,5304
422520,560404,5359
422519,560315,5488
422518,560197,5543
422517,560163,5508
422516,560147,5593
422515,560144,5556
422514,560136,5556
422513,560129,5571
422512,560105,5587
422511,560061,5436
422510,560044,5641
422509,560010,5661
422508,560007,5678
422507,559968,5418
422506,559961,5696
422505,559881,5585
422504,559873,5777
422503,559803,5799
422502,559794,5856
422501,559774,5800
422500,559760,5859
422499,559698,5696
422498,559683,5919
422497,559651,27
422496,559547,6040
422495,559542,126
422494,559511,172
422493,559508,127
422492,559503,149
422491,559496,6087
422490,559468,184
422489,559452,221
422488,559447,212
422487,559438,6136
422486,559420,144
422485,559388,247
422484,559375,246
422483,559351,270
422482,559305,294
422481,559263,336
422480,559245,334
422479,559238,326
422478,559227,358
422477,559218,272
422476,559204,320
422475,559193,323
422474,559192,381
422473,559141,375
422472,559090,400
422471,559062,347
422470,559022,513
422469,559011,235
422468,559002,500
422467,558993,444
422466,558986,423
422465,558974,290
422464,558953,389
422463,558929,404
422462,558922,420
422461,558911,422
422460,558884,6657
422459,558841,423
422458,558823,598
422457,558815,417
422456,558799,385
422455,558791,462
422454,558786,6755
422453,558783,352
422452,558760,472
422451,558749,497
422450,558737,481
422449,558732,6835
422448,558712,501
422447,558685,522
422446,558681,517
422445,558679,509
422444,558653,498
422443,558652,513
422442,558635,549
422441,558627,493
422440,558617,522
422439,558616,519
422438,558590,13
422437,558567,49
422436,558567,42
422435,558469,99
422434,558463,61
422433,558457,81
422432,558453,82
422431,558443,115
422430,558442,102
422429,558429,103
422428,558420,104
422427,558415,113
422426,558405,93
422425,558402,92
422424,558389,7158
422423,558388,89
422422,558386,7125
422421,558385,7168
422420,558377,108
422419,558365,84
422418,558343,119
422417,558343,106
422416,558334,136
422415,558332,7165
422414,558292,26
422413,558285,26
422412,558262,7245
422411,558242,72
422410,558223,11
422409,558212,18
422408,558162,7304
422407,558126,76
422406,558090,125
422405,558066,34
422404,558062,102
422403,558059,143
422402,558050,7425
422401,558038,151
422400,558030,152
422399,558010,158
422398,557999,179
422397,557993,150
422396,557984,180
422394,557952,7498
422392,557819,328
422391,557801,330
422390,557782,297
422389,557780,335
422388,557764,367
422387,557753,354
422386,557751,360
422385,557701,17
422384,557700,15
422383,557699,35
422382,557696,28
422381,557665,18
422380,557627,52
422379,557627,21
422378,557606,39
422377,557590,51
422376,557583,50
422375,557573,55
422374,557564,60
422373,557560,56
422372,557540,98
422371,557531,510
422370,557530,75
422369,557525,84
422368,557516,69
422367,557494,38
422366,557489,62
422365,557461,7945
422364,557456,129
422363,557446,95
422362,557430,102
422361,557420,93
422360,557391,92
422359,557390,129
422358,557376,71
422357,557354,120
422356,557320,127
422355,557319,111
422354,557242,8242
422353,557212,200
422352,557212,96
422351,557198,8196
422350,557183,236
422349,557155,254
422348,557141,239
422347,557129,269
422346,557128,8246
422345,557106,292
422344,557100,289
422343,557073,307
422342,557068,8318
422341,557068,291
422340,557042,286
422339,557030,306
422338,557026,302
422337,556985,336
422336,556935,298
422335,556929,389
422334,556899,356
422333,556890,461
422332,556858,413
422331,556849,468
422330,556824,447
422329,556821,8490
422328,556806,502
422327,556783,472
422326,556780,467
422325,556721,526
422324,556684,554
422323,556682,603
422322,556635,8771
422321,556583,650
422320,556572,582
422319,556557,8745
422318,556518,703
422317,556462,732
422316,556449,733
422315,556430,764
422314,556403,818
422313,556397,740
422312,556375,807
422311,556361,776
422310,556357,797
422309,556330,794
422308,556299,825
422307,556296,819
422306,556252,9041
422305,556248,851
422304,556243,835
422303,556243,9050
422302,556235,852
422301,556228,887
422300,556188,1916
422299,556146,864
422298,556096,877
422297,556095,945
422296,556087,991
422295,556072,968
422294,556066,951
422293,556064,946
422292,556049,924
422291,556041,953
422290,556019,975
422289,555853,1110
422288,555810,2290
422287,555790,1166
422286,555733,1219
422285,555704,2379
422284,555663,1214
422283,555642,1282
422282,555623,2456
422281,555613,1311
422280,555592,1353
422279,555552,2520
422277,555447,1417
422276,555427,1447
422275,555372,1502
422274,555370,1242
422273,555356,1508
422272,555332,1526
422271,555305,1553
422270,555291,1560
422269,555276,1575
422268,555209,2853
422267,555198,1642
422266,555187,1697
422265,555176,1652
422264,555156,1672
422263,555154,2897
422262,555103,1707
422261,555086,1675
422260,555068,1742
422259,554907,1886
422258,554879,1914
422257,554873,1874
422256,554847,1914
422255,554831,1942
422254,554826,1910
422253,554822,1951
422252,554799,1937
422251,554778,1969
422250,554733,1796
422249,554719,1993
422248,554717,2010
422247,554704,2023
422246,554685,2008
422245,554603,2086
422243,554546,2125
422242,554543,2169
422241,554496,2175
422240,554481,2208
422239,554477,3580
